lthreshold,MAPE_percent,Median_error_percent,Max_error_percent,Mean_time_seconds,Valid_count
0.5,127.26962360457608,16.997954892166092,976.6249082561284,43.853819913864136,9
1.0,318.57531301602324,30.090266985569453,2462.802287495563,26.73698143005371,9
2.0,735.5301354277483,29.66001725663879,5772.071073968506,17.49919553756714,9
3.0,786.3897180808985,29.517653885377115,5927.741652001605,30.051233987808228,9
4.0,748.7036651632609,31.28959238257618,5143.376905561377,12.620298500061034,9
5.0,790.7053122998511,35.997099955169986,5435.966700419875,126.77141098022462,9
6.0,694.8602549532922,46.08875258401497,4433.173688637652,12.51804533958435,9
7.0,727.2222181059878,53.88739843786771,4672.98234273728,67.78439474105835,9
8.0,740.5919282602923,61.0131940758029,4696.892127439584,11.051444759368897,9
9.0,777.188876520426,70.67777993535834,5048.480022479183,99.17276516914367,9
10.0,664.1874115699112,74.79790989675817,3864.096784383206,10.990001764297485,9
