Threshold,Calc_Volume,Error_Percent,Time_s
0.05,43.14113930786108,115.7056965393054,164.21691632270813
0.1,59.13549978219035,195.67749891095175,33.989741802215576
0.15,81.43198027031035,307.15990135155175,30.51496195793152
0.2,87.9993810226565,339.9969051132825,8.788146018981934
0.25,98.70559076972805,393.52795384864027,6.290633916854858
0.3,105.5550927391217,427.7754636956085,6.208190679550171
0.35,108.49925291947335,442.49626459736675,6.107702016830444
0.4,110.62280691874477,453.1140345937239,6.0541040897369385
0.45,112.34403667594921,461.7201833797461,6.077929258346558
0.5,113.48451440746385,467.4225720373192,6.061079740524292
